Timestamp,Source IP,Destination IP,Source Port,Destination Port,TTL,Protocol,Flags,Length,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std
1711787007.780445,192.168.246.147,192.168.246.93,56209,53,128,17,,75,0.0,1,0,75,0,75,75,37.5,0
1711787007.780617,192.168.246.147,192.168.246.93,61913,53,128,17,,75,0.0,1,0,75,0,75,75,37.5,0
1711787007.780763,192.168.246.147,192.168.246.93,55353,53,128,17,,75,0.0,1,0,75,0,75,75,37.5,0
1711787007.795648,192.168.246.147,192.168.246.93,63451,53,128,17,,87,0.0,1,0,87,0,87,87,43.5,0
1711787007.795932,192.168.246.147,192.168.246.93,56515,53,128,17,,87,0.0,1,0,87,0,87,87,43.5,0
1711787007.796147,192.168.246.147,192.168.246.93,59743,53,128,17,,87,0.0,1,0,87,0,87,87,43.5,0
1711787007.796475,192.168.246.147,20.42.65.88,53486,443,128,6,DF,1434,0.0,1,0,1434,0,1434,1434,717.0,0
1711787007.796475,192.168.246.147,20.42.65.88,53486,443,128,6,DF,1434,0.0,2,0,2868,0,1434,1434,956.0,0.3333333333333333
1711787007.796475,192.168.246.147,20.42.65.88,53486,443,128,6,DF,1434,0.0,3,0,4302,0,1434,1434,1075.5,0.25
1711787007.796475,192.168.246.147,20.42.65.88,53486,443,128,6,DF,231,0.0,4,0,4533,0,1434,231,906.6,2.924675324675325
1711787007.79652,192.168.246.147,20.42.65.88,53486,443,128,6,DF,93,4.506111145019531e-05,5,0,4626,0,1434,93,771.0,7.290322580645161
1711787007.796546,192.168.246.147,20.42.65.88,53486,443,128,6,DF,1434,7.104873657226562e-05,6,0,6060,0,1434,93,865.7142857142857,0.3962940824865511
1711787007.796546,192.168.246.147,20.42.65.88,53486,443,128,6,DF,1434,7.104873657226562e-05,7,0,7494,0,1434,93,936.75,0.34675732217573224
1711787007.796546,192.168.246.147,20.42.65.88,53486,443,128,6,DF,1434,7.104873657226562e-05,8,0,8928,0,1434,93,992.0,0.3082287308228731
1711787007.796546,192.168.246.147,20.42.65.88,53486,443,128,6,DF,294,7.104873657226562e-05,9,0,9222,0,1434,93,922.2,2.136734693877551
1711787007.82387,192.168.246.93,192.168.246.147,53,61913,64,17,DF,155,0.0,1,0,155,0,155,155,77.5,0
1711787007.824729,192.168.246.93,192.168.246.147,53,56209,64,17,DF,179,0.0,1,0,179,0,179,179,89.5,0
1711787007.828651,192.168.246.93,192.168.246.147,53,63451,64,17,DF,269,0.0,1,0,269,0,269,269,134.5,0
1711787007.83987,192.168.246.93,192.168.246.147,53,56515,64,17,DF,214,0.0,1,0,214,0,214,214,107.0,0
1711787007.84013,192.168.246.93,192.168.246.147,53,59743,64,17,DF,269,0.0,1,0,269,0,269,269,134.5,0
1711787007.859868,192.168.246.93,192.168.246.147,53,55353,64,17,DF,196,0.0,1,0,196,0,196,196,98.0,0
1711787008.080512,20.42.65.88,192.168.246.147,443,53486,107,6,DF,54,0.0,1,0,54,0,54,54,27.0,0
1711787008.084483,20.42.65.88,192.168.246.147,443,53486,107,6,DF,54,0.0039708614349365234,2,0,108,0,54,54,36.0,0.3333333333333333
1711787008.085453,20.42.65.88,192.168.246.147,443,53486,107,6,DF,93,0.004940986633300781,3,0,201,0,93,54,50.25,0.4596774193548387
1711787008.086501,20.42.65.88,192.168.246.147,443,53486,107,6,DF,54,0.0059888362884521484,4,0,255,0,93,54,51.0,0.05555555555555555
1711787008.086522,20.42.65.88,192.168.246.147,443,53486,107,6,DF,54,0.0060100555419921875,5,0,309,0,93,54,51.5,0.046296296296296294
1711787008.089477,20.42.65.88,192.168.246.147,443,53486,107,6,DF,54,0.008965015411376953,6,0,363,0,93,54,51.857142857142854,0.039682539682539736
1711787008.130984,192.168.246.147,20.42.65.88,53486,443,128,6,DF,54,0.33450913429260254,10,0,9276,0,1434,54,843.2727272727273,14.616161616161616
1711787008.393544,20.42.65.88,192.168.246.147,443,53486,107,6,DF,364,0.3130319118499756,7,0,727,0,364,54,90.875,0.7503434065934066
