No.,Time,Source,Destination,Protocol,Length,Win,Seq,Ack,Len,Total Packets (Flow),Total Bytes (Flow),Flow Duration,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min
1,0.000000,127.0.0.1,127.0.0.1,TCP,53,8437,1,1,9,70,3215,225.071927,3215,0,53,44
2,0.000056,127.0.0.1,127.0.0.1,TCP,44,8425,1,10,0,70,3215,225.071927,3215,0,53,44
3,0.001078,127.0.0.1,127.0.0.1,TCP,47,8425,1,10,3,70,3215,225.071927,3215,0,53,44
4,0.001102,127.0.0.1,127.0.0.1,TCP,44,8437,10,4,0,70,3215,225.071927,3215,0,53,44
5,19.629306,192.168.56.1,192.168.56.255,UDP,76,,,,44,8,608,229.778788,608,0,76,76
6,19.629452,192.168.246.147,192.168.246.255,UDP,76,,,,44,8,608,229.779,608,0,76,76
7,25.011526,127.0.0.1,127.0.0.1,TCP,53,8437,10,4,9,70,3215,225.071927,3215,0,53,44
8,25.011586,127.0.0.1,127.0.0.1,TCP,44,8425,4,19,0,70,3215,225.071927,3215,0,53,44
9,25.012445,127.0.0.1,127.0.0.1,TCP,47,8425,4,19,3,70,3215,225.071927,3215,0,53,44
10,25.012470,127.0.0.1,127.0.0.1,TCP,44,8437,19,7,0,70,3215,225.071927,3215,0,53,44
11,49.639649,192.168.56.1,192.168.56.255,UDP,76,,,,44,8,608,229.778788,608,0,76,76
12,49.639894,192.168.246.147,192.168.246.255,UDP,76,,,,44,8,608,229.779,608,0,76,76
13,50.019056,127.0.0.1,127.0.0.1,TCP,53,8437,19,7,9,70,3215,225.071927,3215,0,53,44
14,50.019089,127.0.0.1,127.0.0.1,TCP,44,8425,7,28,0,70,3215,225.071927,3215,0,53,44
15,50.019674,127.0.0.1,127.0.0.1,TCP,47,8425,7,28,3,70,3215,225.071927,3215,0,53,44
16,50.019692,127.0.0.1,127.0.0.1,TCP,44,8436,28,10,0,70,3215,225.071927,3215,0,53,44
17,71.412102,192.168.56.1,224.0.0.251,MDNS,77,,,,,6,494,191.415244,494,0,104,66
18,71.412495,192.168.246.147,224.0.0.251,MDNS,77,,,,,6,606,191.415526,606,0,160,66
19,71.412840,fe80::f272:8841:24f6:e79c,ff02::fb,MDNS,97,,,,,10,1114,191.416616,1114,0,180,86
20,71.413264,fe80::f272:8841:24f6:e79c,ff02::fb,MDNS,97,,,,,10,1114,191.416616,1114,0,180,86
21,71.413490,fe80::8954:9c67:e9f5:367d,ff02::fb,MDNS,97,,,,,6,614,191.416417,614,0,124,86
22,71.413783,fe80::f272:8841:24f6:e79c,ff02::fb,MDNS,97,,,,,10,1114,191.416616,1114,0,180,86
23,73.770955,192.168.56.1,239.255.255.250,SSDP,157,,,,,18,3578,201.80371,3578,0,207,157
24,73.771070,192.168.246.147,239.255.255.250,SSDP,157,,,,,18,3578,201.8035,3578,0,207,157
25,75.021089,127.0.0.1,127.0.0.1,TCP,53,8436,28,10,9,70,3215,225.071927,3215,0,53,44
26,75.021134,127.0.0.1,127.0.0.1,TCP,44,8425,10,37,0,70,3215,225.071927,3215,0,53,44
27,75.021840,127.0.0.1,127.0.0.1,TCP,47,8425,10,37,3,70,3215,225.071927,3215,0,53,44
28,75.021875,127.0.0.1,127.0.0.1,TCP,44,8436,37,13,0,70,3215,225.071927,3215,0,53,44
29,78.692080,192.168.246.147,239.255.255.250,SSDP,207,,,,,18,3578,201.8035,3578,0,207,157
30,78.692352,192.168.56.1,239.255.255.250,SSDP,207,,,,,18,3578,201.80371,3578,0,207,157
31,78.776930,192.168.246.147,239.255.255.250,SSDP,201,,,,,18,3578,201.8035,3578,0,207,157
32,78.777078,192.168.56.1,239.255.255.250,SSDP,201,,,,,18,3578,201.80371,3578,0,207,157
33,79.648364,192.168.56.1,192.168.56.255,UDP,76,,,,44,8,608,229.778788,608,0,76,76
34,79.648522,192.168.246.147,192.168.246.255,UDP,76,,,,44,8,608,229.779,608,0,76,76
35,79.694254,192.168.246.147,239.255.255.250,SSDP,207,,,,,18,3578,201.8035,3578,0,207,157
36,79.694419,192.168.56.1,239.255.255.250,SSDP,207,,,,,18,3578,201.80371,3578,0,207,157
37,79.792429,192.168.246.147,239.255.255.250,SSDP,201,,,,,18,3578,201.8035,3578,0,207,157
38,79.792636,192.168.56.1,239.255.255.250,SSDP,201,,,,,18,3578,201.80371,3578,0,207,157
39,80.698236,192.168.246.147,239.255.255.250,SSDP,207,,,,,18,3578,201.8035,3578,0,207,157
40,80.698504,192.168.56.1,239.255.255.250,SSDP,207,,,,,18,3578,201.80371,3578,0,207,157
41,80.795942,192.168.246.147,239.255.255.250,SSDP,201,,,,,18,3578,201.8035,3578,0,207,157
42,80.796104,192.168.56.1,239.255.255.250,SSDP,201,,,,,18,3578,201.80371,3578,0,207,157
43,81.703047,192.168.246.147,239.255.255.250,SSDP,207,,,,,18,3578,201.8035,3578,0,207,157
44,81.703330,192.168.56.1,239.255.255.250,SSDP,207,,,,,18,3578,201.80371,3578,0,207,157
45,81.807439,192.168.246.147,239.255.255.250,SSDP,201,,,,,18,3578,201.8035,3578,0,207,157
46,81.807719,192.168.56.1,239.255.255.250,SSDP,201,,,,,18,3578,201.80371,3578,0,207,157
47,87.118929,127.0.0.1,127.0.0.1,TCP,45,1279,1,1,1,70,3215,225.071927,3215,0,53,44
48,87.118959,127.0.0.1,127.0.0.1,TCP,44,8439,1,2,0,70,3215,225.071927,3215,0,53,44
49,87.119204,127.0.0.1,127.0.0.1,TCP,45,1279,2,1,1,70,3215,225.071927,3215,0,53,44
50,87.119216,127.0.0.1,127.0.0.1,TCP,44,8439,1,3,0,70,3215,225.071927,3215,0,53,44
51,87.119364,127.0.0.1,127.0.0.1,TCP,45,1279,3,1,1,70,3215,225.071927,3215,0,53,44
52,87.119376,127.0.0.1,127.0.0.1,TCP,44,8439,1,4,0,70,3215,225.071927,3215,0,53,44
53,87.601881,127.0.0.1,127.0.0.1,TCP,45,1279,4,1,1,70,3215,225.071927,3215,0,53,44
54,87.601921,127.0.0.1,127.0.0.1,TCP,44,8439,1,5,0,70,3215,225.071927,3215,0,53,44
55,87.602175,127.0.0.1,127.0.0.1,TCP,45,1279,5,1,1,70,3215,225.071927,3215,0,53,44
56,87.602189,127.0.0.1,127.0.0.1,TCP,44,8439,1,6,0,70,3215,225.071927,3215,0,53,44
57,87.602335,127.0.0.1,127.0.0.1,TCP,45,1279,6,1,1,70,3215,225.071927,3215,0,53,44
58,87.602350,127.0.0.1,127.0.0.1,TCP,44,8439,1,7,0,70,3215,225.071927,3215,0,53,44
59,87.832398,127.0.0.1,127.0.0.1,TCP,45,1279,7,1,1,70,3215,225.071927,3215,0,53,44
60,87.832434,127.0.0.1,127.0.0.1,TCP,44,8439,1,8,0,70,3215,225.071927,3215,0,53,44
61,87.832679,127.0.0.1,127.0.0.1,TCP,45,1279,8,1,1,70,3215,225.071927,3215,0,53,44
62,87.832696,127.0.0.1,127.0.0.1,TCP,44,8439,1,9,0,70,3215,225.071927,3215,0,53,44
63,87.832833,127.0.0.1,127.0.0.1,TCP,45,1279,9,1,1,70,3215,225.071927,3215,0,53,44
64,87.832851,127.0.0.1,127.0.0.1,TCP,44,8439,1,10,0,70,3215,225.071927,3215,0,53,44
65,88.093146,127.0.0.1,127.0.0.1,TCP,45,1279,10,1,1,70,3215,225.071927,3215,0,53,44
66,88.093200,127.0.0.1,127.0.0.1,TCP,44,8439,1,11,0,70,3215,225.071927,3215,0,53,44
67,88.093526,127.0.0.1,127.0.0.1,TCP,45,1279,11,1,1,70,3215,225.071927,3215,0,53,44
68,88.093556,127.0.0.1,127.0.0.1,TCP,44,8439,1,12,0,70,3215,225.071927,3215,0,53,44
69,88.093728,127.0.0.1,127.0.0.1,TCP,45,1279,12,1,1,70,3215,225.071927,3215,0,53,44
70,88.093770,127.0.0.1,127.0.0.1,TCP,44,8439,1,13,0,70,3215,225.071927,3215,0,53,44
71,88.322703,127.0.0.1,127.0.0.1,TCP,45,1279,13,1,1,70,3215,225.071927,3215,0,53,44
72,88.322734,127.0.0.1,127.0.0.1,TCP,44,8439,1,14,0,70,3215,225.071927,3215,0,53,44
73,88.322989,127.0.0.1,127.0.0.1,TCP,45,1279,14,1,1,70,3215,225.071927,3215,0,53,44
74,88.323011,127.0.0.1,127.0.0.1,TCP,44,8439,1,15,0,70,3215,225.071927,3215,0,53,44
75,88.323165,127.0.0.1,127.0.0.1,TCP,45,1279,15,1,1,70,3215,225.071927,3215,0,53,44
76,88.323187,127.0.0.1,127.0.0.1,TCP,44,8439,1,16,0,70,3215,225.071927,3215,0,53,44
77,100.026993,127.0.0.1,127.0.0.1,TCP,53,8436,37,13,9,70,3215,225.071927,3215,0,53,44
78,100.027025,127.0.0.1,127.0.0.1,TCP,44,8425,13,46,0,70,3215,225.071927,3215,0,53,44
79,100.027787,127.0.0.1,127.0.0.1,TCP,47,8425,13,46,3,70,3215,225.071927,3215,0,53,44
80,100.027810,127.0.0.1,127.0.0.1,TCP,44,8436,46,16,0,70,3215,225.071927,3215,0,53,44
81,109.698138,192.168.56.1,192.168.56.255,UDP,76,,,,44,8,608,229.778788,608,0,76,76
82,109.698243,192.168.246.147,192.168.246.255,UDP,76,,,,44,8,608,229.779,608,0,76,76
83,125.031389,127.0.0.1,127.0.0.1,TCP,53,8436,46,16,9,70,3215,225.071927,3215,0,53,44
