"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","53","52431  >  49733 [PSH, ACK] Seq=1 Ack=1 Win=8437 Len=9 [TCP segment of a reassembled PDU]"
"2","0.000056","127.0.0.1","127.0.0.1","TCP","44","49733  >  52431 [ACK] Seq=1 Ack=10 Win=8425 Len=0"
"3","0.001078","127.0.0.1","127.0.0.1","TCP","47","49733  >  52431 [PSH, ACK] Seq=1 Ack=10 Win=8425 Len=3"
"4","0.001102","127.0.0.1","127.0.0.1","TCP","44","52431  >  49733 [ACK] Seq=10 Ack=4 Win=8437 Len=0"
"5","19.629306","192.168.56.1","192.168.56.255","UDP","76","57621  >  57621 Len=44"
"6","19.629452","192.168.246.147","192.168.246.255","UDP","76","57621  >  57621 Len=44"
"7","25.011526","127.0.0.1","127.0.0.1","TCP","53","52431  >  49733 [PSH, ACK] Seq=10 Ack=4 Win=8437 Len=9 [TCP segment of a reassembled PDU]"
"8","25.011586","127.0.0.1","127.0.0.1","TCP","44","49733  >  52431 [ACK] Seq=4 Ack=19 Win=8425 Len=0"
"9","25.012445","127.0.0.1","127.0.0.1","TCP","47","49733  >  52431 [PSH, ACK] Seq=4 Ack=19 Win=8425 Len=3"
"10","25.012470","127.0.0.1","127.0.0.1","TCP","44","52431  >  49733 [ACK] Seq=19 Ack=7 Win=8437 Len=0"
"11","49.639649","192.168.56.1","192.168.56.255","UDP","76","57621  >  57621 Len=44"
"12","49.639894","192.168.246.147","192.168.246.255","UDP","76","57621  >  57621 Len=44"
"13","50.019056","127.0.0.1","127.0.0.1","TCP","53","52431  >  49733 [PSH, ACK] Seq=19 Ack=7 Win=8437 Len=9 [TCP segment of a reassembled PDU]"
"14","50.019089","127.0.0.1","127.0.0.1","TCP","44","49733  >  52431 [ACK] Seq=7 Ack=28 Win=8425 Len=0"
"15","50.019674","127.0.0.1","127.0.0.1","TCP","47","49733  >  52431 [PSH, ACK] Seq=7 Ack=28 Win=8425 Len=3"
"16","50.019692","127.0.0.1","127.0.0.1","TCP","44","52431  >  49733 [ACK] Seq=28 Ack=10 Win=8436 Len=0"
"17","71.412102","192.168.56.1","224.0.0.251","MDNS","77","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"18","71.412495","192.168.246.147","224.0.0.251","MDNS","77","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"19","71.412840","fe80::f272:8841:24f6:e79c","ff02::fb","MDNS","97","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"20","71.413264","fe80::f272:8841:24f6:e79c","ff02::fb","MDNS","97","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"21","71.413490","fe80::8954:9c67:e9f5:367d","ff02::fb","MDNS","97","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"22","71.413783","fe80::f272:8841:24f6:e79c","ff02::fb","MDNS","97","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"23","73.770955","192.168.56.1","239.255.255.250","SSDP","157","M-SEARCH * HTTP/1.1 "
"24","73.771070","192.168.246.147","239.255.255.250","SSDP","157","M-SEARCH * HTTP/1.1 "
"25","75.021089","127.0.0.1","127.0.0.1","TCP","53","52431  >  49733 [PSH, ACK] Seq=28 Ack=10 Win=8436 Len=9 [TCP segment of a reassembled PDU]"
"26","75.021134","127.0.0.1","127.0.0.1","TCP","44","49733  >  52431 [ACK] Seq=10 Ack=37 Win=8425 Len=0"
"27","75.021840","127.0.0.1","127.0.0.1","TCP","47","49733  >  52431 [PSH, ACK] Seq=10 Ack=37 Win=8425 Len=3"
"28","75.021875","127.0.0.1","127.0.0.1","TCP","44","52431  >  49733 [ACK] Seq=37 Ack=13 Win=8436 Len=0"
"29","78.692080","192.168.246.147","239.255.255.250","SSDP","207","M-SEARCH * HTTP/1.1 "
"30","78.692352","192.168.56.1","239.255.255.250","SSDP","207","M-SEARCH * HTTP/1.1 "
"31","78.776930","192.168.246.147","239.255.255.250","SSDP","201","M-SEARCH * HTTP/1.1 "
"32","78.777078","192.168.56.1","239.255.255.250","SSDP","201","M-SEARCH * HTTP/1.1 "
"33","79.648364","192.168.56.1","192.168.56.255","UDP","76","57621  >  57621 Len=44"
"34","79.648522","192.168.246.147","192.168.246.255","UDP","76","57621  >  57621 Len=44"
"35","79.694254","192.168.246.147","239.255.255.250","SSDP","207","M-SEARCH * HTTP/1.1 "
"36","79.694419","192.168.56.1","239.255.255.250","SSDP","207","M-SEARCH * HTTP/1.1 "
"37","79.792429","192.168.246.147","239.255.255.250","SSDP","201","M-SEARCH * HTTP/1.1 "
"38","79.792636","192.168.56.1","239.255.255.250","SSDP","201","M-SEARCH * HTTP/1.1 "
"39","80.698236","192.168.246.147","239.255.255.250","SSDP","207","M-SEARCH * HTTP/1.1 "
"40","80.698504","192.168.56.1","239.255.255.250","SSDP","207","M-SEARCH * HTTP/1.1 "
"41","80.795942","192.168.246.147","239.255.255.250","SSDP","201","M-SEARCH * HTTP/1.1 "
"42","80.796104","192.168.56.1","239.255.255.250","SSDP","201","M-SEARCH * HTTP/1.1 "
"43","81.703047","192.168.246.147","239.255.255.250","SSDP","207","M-SEARCH * HTTP/1.1 "
"44","81.703330","192.168.56.1","239.255.255.250","SSDP","207","M-SEARCH * HTTP/1.1 "
"45","81.807439","192.168.246.147","239.255.255.250","SSDP","201","M-SEARCH * HTTP/1.1 "
"46","81.807719","192.168.56.1","239.255.255.250","SSDP","201","M-SEARCH * HTTP/1.1 "
"47","87.118929","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=1 Ack=1 Win=1279 Len=1"
"48","87.118959","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=2 Win=8439 Len=0"
"49","87.119204","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=2 Ack=1 Win=1279 Len=1"
"50","87.119216","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=3 Win=8439 Len=0"
"51","87.119364","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=3 Ack=1 Win=1279 Len=1"
"52","87.119376","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=4 Win=8439 Len=0"
"53","87.601881","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=4 Ack=1 Win=1279 Len=1"
"54","87.601921","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=5 Win=8439 Len=0"
"55","87.602175","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=5 Ack=1 Win=1279 Len=1"
"56","87.602189","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=6 Win=8439 Len=0"
"57","87.602335","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=6 Ack=1 Win=1279 Len=1"
"58","87.602350","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=7 Win=8439 Len=0"
"59","87.832398","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=7 Ack=1 Win=1279 Len=1"
"60","87.832434","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=8 Win=8439 Len=0"
"61","87.832679","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=8 Ack=1 Win=1279 Len=1"
"62","87.832696","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=9 Win=8439 Len=0"
"63","87.832833","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=9 Ack=1 Win=1279 Len=1"
"64","87.832851","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=10 Win=8439 Len=0"
"65","88.093146","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=10 Ack=1 Win=1279 Len=1"
"66","88.093200","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=11 Win=8439 Len=0"
"67","88.093526","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=11 Ack=1 Win=1279 Len=1"
"68","88.093556","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=12 Win=8439 Len=0"
"69","88.093728","127.0.0.1","127.0.0.1","TCP","45","62628  >  62627 [PSH, ACK] Seq=12 Ack=1 Win=1279 Len=1"
"70","88.093770","127.0.0.1","127.0.0.1","TCP","44","62627  >  62628 [ACK] Seq=1 Ack=13 Win=8439 Len=0"
